Designator,Mid X,Mid Y,Rotation,Layer
A1,147.0025,-110.405,0.0,top
C1,166.6875,-119.0625,90.0,top
C2,166.6875,-123.05,90.0,top
C3,166.6875,-103.16875,90.0,top
D11,195.2625,-95.25,90.0,top
D12,214.3125,-95.25,90.0,top
D13,233.3625,-95.25,90.0,top
D14,252.4125,-95.25,90.0,top
D15,271.4625,-95.25,90.0,top
D21,42.8625,-113.3475,90.0,top
D22,61.9125,-113.3475,90.0,top
D23,80.9625,-113.3475,90.0,top
D24,100.0125,-113.3475,90.0,top
D25,119.0625,-113.3475,90.0,top
D29,195.2625,-113.3475,90.0,top
D3,42.8625,-95.25,90.0,top
D30,214.3125,-113.3475,90.0,top
D31,233.3625,-113.3475,90.0,top
D32,252.4125,-113.3475,90.0,top
D33,271.4625,-113.3475,90.0,top
D4,61.9125,-95.25,90.0,top
D43,61.9125,-133.35,90.0,top
D45,80.9625,-133.35,90.0,top
D47,100.0125,-133.35,90.0,top
D49,119.0625,-133.35,90.0,top
D5,80.9625,-95.25,90.0,top
D56,157.1625,-152.4,90.0,top
D57,195.2625,-133.35,90.0,top
D59,214.3125,-133.35,90.0,top
D6,100.0125,-95.25,90.0,top
D61,233.3625,-133.35,90.0,top
D63,252.4125,-133.35,90.0,top
D7,119.0625,-95.25,90.0,top
S11,185.42,-93.085,0.0,top
S12,204.47,-93.085,0.0,top
S13,223.52,-93.085,0.0,top
S14,242.57,-93.085,0.0,top
S15,261.62,-93.085,0.0,top
S21,33.02,-112.135,0.0,top
S22,52.07,-112.135,0.0,top
S23,71.12,-112.135,0.0,top
S24,90.17,-112.135,0.0,top
S25,109.22,-112.135,0.0,top
S29,185.42,-112.135,0.0,top
S3,33.02,-93.085,0.0,top
S30,204.47,-112.135,0.0,top
S31,223.52,-112.135,0.0,top
S32,242.57,-112.135,0.0,top
S33,261.62,-112.135,0.0,top
S4,52.07,-93.085,0.0,top
S43,52.07,-131.185,0.0,top
S45,71.12,-131.185,0.0,top
S47,90.17,-131.185,0.0,top
S49,109.22,-131.185,0.0,top
S5,71.12,-93.085,0.0,top
S56,147.31375,-150.25125,0.0,top
S57,185.42,-131.185,0.0,top
S59,204.47,-131.185,0.0,top
S6,90.17,-93.085,0.0,top
S61,223.52,-131.185,0.0,top
S63,242.57,-131.185,0.0,top
S7,109.22,-93.085,0.0,top
SW1,166.6875,-111.91875,180.0,top
